iter	Passed	Remaining
403	9671	14267
404	9696	14245
405	9714	14213
406	9735	14184
407	9755	14154
408	9773	14122
409	9794	14094
410	9816	14067
411	9834	14035
412	9857	14009
413	9875	13977
414	9896	13950
415	9916	13921
416	9941	13898
417	9974	13887
418	10000	13867
419	10019	13836
420	10042	13811
421	10064	13784
422	10105	13784
423	10130	13762
424	10153	13736
425	10173	13708
426	10195	13681
427	10214	13651
428	10238	13627
429	10261	13602
430	10279	13570
431	10301	13543
432	10323	13517
433	10346	13493
434	10370	13469
435	10391	13442
436	10408	13410
437	10431	13384
438	10453	13358
439	10475	13331
440	10493	13301
441	10587	13366
442	10605	13334
443	10626	13306
444	10647	13280
445	10665	13248
446	10687	13221
447	10709	13195
448	10730	13168
449	10752	13142
450	10771	13112
451	10793	13085
452	10816	13060
453	10836	13032
454	10852	12998
455	10874	12973
456	10896	12947
457	10919	12921
458	10943	12898
459	10962	12868
460	10984	12842
461	11003	12813
462	11024	12786
463	11046	12760
464	11067	12733
465	11105	12726
466	11126	12699
467	11149	12673
468	11170	12647
469	11193	12622
470	11213	12594
471	11234	12567
472	11256	12541
473	11275	12512
474	11296	12485
475	11316	12457
476	11338	12431
477	11360	12405
478	11381	12379
479	11402	12352
480	11423	12326
481	11446	12301
482	11467	12274
483	11488	12248
484	11509	12221
485	11577	12244
486	11604	12223
487	11637	12209
488	11659	12184
489	11682	12159
490	11704	12133
491	11724	12105
492	11744	12078
493	11763	12048
494	11785	12023
495	11806	11997
496	11827	11970
497	11848	11944
498	11870	11918
499	11888	11888
500	11910	11862
501	11929	11834
502	11949	11807
503	11970	11780
504	11993	11755
505	12011	11726
506	12033	11701
507	12054	11675
508	12074	11647
509	12096	11622
510	12137	11614
511	12168	11598
512	12207	11588
513	12225	11559
514	12246	11533
515	12268	11508
516	12290	11482
517	12311	11456
518	12333	11430
519	12352	11402
520	12373	11376
521	12392	11347
522	12414	11322
523	12432	11293
524	12456	11269
525	12477	11243
526	12496	11216
527	12515	11188
528	12539	11164
529	12590	11164
530	12614	11141
531	12637	11116
532	12656	11088
533	12678	11063
534	12699	11037
535	12722	11013
536	12743	10987
537	12762	10959
538	12784	10934
539	12804	10907
540	12825	10881
541	12847	10856
542	12869	10831
543	12888	10803
544	12909	10777
545	12930	10751
546	12949	10724
547	12970	10697
548	12988	10670
549	13011	10646
550	13033	10620
551	13055	10595
552	13076	10569
553	13096	10543
554	13135	10532
555	13160	10509
556	13182	10484
557	13202	10457
558	13224	10432
559	13244	10406
560	13262	10378
561	13283	10352
562	13304	10326
563	13324	10300
564	13346	10275
565	13391	10268
566	13435	10260
567	13482	10254
568	13524	10244
569	13600	10260
570	13630	10240
571	13664	10224
572	13689	10201
573	13713	10177
574	13731	10149
575	13756	10125
576	13780	10102
577	13800	10075
578	13825	10052
579	13849	10028
580	13878	10008
581	13901	9984
582	13933	9966
583	13955	9940
584	13979	9917
585	14006	9895
586	14032	9873
587	14060	9851
588	14089	9831
589	14125	9815
590	14184	9816
591	14205	9789
592	14224	9762
593	14247	9738
594	14267	9711
595	14287	9684
596	14309	9659
597	14330	9633
598	14348	9605
599	14370	9580
600	14390	9553
601	14412	9528
602	14432	9501
603	14453	9476
604	14472	9448
605	14492	9422
606	14514	9397
607	14535	9371
608	14557	9346
609	14581	9322
610	14631	9315
611	14653	9290
612	14673	9263
613	14698	9240
614	14726	9218
615	14746	9192
616	14771	9169
617	14797	9146
618	14824	9124
619	14849	9101
620	14874	9077
621	14899	9054
622	14920	9028
623	14942	9004
624	14961	8976
625	14982	8950
626	15004	8926
627	15019	8897
628	15042	8872
629	15062	8846
630	15083	8820
631	15102	8793
632	15125	8769
633	15148	8745
634	15186	8729
635	15211	8705
636	15233	8681
637	15255	8655
638	15277	8631
639	15299	8605
640	15317	8578
641	15341	8554
642	15363	8529
643	15382	8503
644	15402	8477
645	15419	8449
646	15444	8426
647	15462	8399
648	15485	8374
649	15503	8348
650	15525	8323
651	15544	8296
652	15573	8275
653	15606	8256
654	15652	8244
655	15672	8218
656	15702	8197
657	15726	8173
658	15748	8149
659	15766	8122
660	15789	8097
661	15806	8070
662	15829	8046
663	15852	8021
664	15872	7995
665	15894	7971
666	15914	7945
667	15938	7921
668	15961	7897
669	15983	7872
670	16004	7847
671	16026	7822
672	16045	7796
673	16067	7771
674	16087	7745
675	16110	7721
676	16134	7697
677	16152	7671
678	16176	7647
679	16222	7634
680	16246	7610
681	16270	7586
682	16289	7560
683	16313	7536
684	16332	7510
685	16353	7485
686	16376	7461
687	16394	7434
688	16417	7410
689	16435	7384
690	16458	7359
691	16479	7334
692	16501	7310
693	16521	7284
694	16542	7259
695	16565	7235
696	16585	7209
697	16607	7185
698	16655	7172
699	16684	7150
700	16707	7126
701	16726	7100
702	16747	7075
703	16769	7050
704	16788	7024
705	16808	6999
706	16830	6975
707	16848	6948
708	16868	6923
709	16892	6899
710	16914	6875
711	16937	6851
712	16956	6825
713	16978	6801
714	17001	6776
715	17020	6751
716	17039	6725
717	17058	6699
718	17075	6673
719	17098	6649
720	17117	6623
721	17139	6599
722	17160	6574
723	17179	6549
724	17224	6533
725	17247	6509
726	17268	6484
727	17290	6460
728	17309	6434
729	17332	6410
730	17350	6384
731	17372	6360
732	17395	6336
733	17412	6310
734	17436	6286
735	17458	6262
736	17481	6238
737	17501	6213
738	17520	6187
739	17542	6163
740	17561	6138
741	17586	6114
742	17606	6090
743	17628	6065
744	17724	6066
745	17745	6041
746	17769	6018
747	17806	5998
748	17838	5977
749	17874	5958
750	17907	5937
751	17947	5918
752	17969	5894
753	18002	5873
754	18025	5849
755	18050	5825
756	18073	5801
757	18096	5777
758	18120	5753
759	18143	5729
760	18174	5707
761	18197	5683
762	18217	5658
763	18274	5645
764	18313	5625
765	18337	5601
766	18373	5581
767	18401	5558
768	18428	5535
769	18461	5514
770	18480	5488
771	18501	5464
772	18533	5442
773	18555	5418
774	18576	5393
775	18599	5368
776	18621	5344
777	18640	5319
778	18662	5294
779	18724	5281
780	18745	5256
781	18768	5232
782	18790	5207
783	18810	5182
784	18833	5158
785	18855	5133
786	18878	5109
787	18897	5084
788	18921	5060
789	18938	5034
790	18960	5009
791	18982	4985
792	19001	4960
793	19025	4936
794	19043	4910
795	19068	4886
796	19105	4866
797	19134	4843
798	19171	4822
799	19200	4800
800	19230	4777
801	19292	4762
802	19323	4740
803	19353	4717
804	19378	4694
805	19406	4671
806	19432	4647
807	19458	4623
808	19488	4601
809	19508	4576
810	19537	4553
811	19567	4530
812	19602	4508
813	19629	4485
814	19660	4462
815	19689	4439
816	19745	4422
817	19769	4398
818	19792	4374
819	19819	4350
820	19849	4327
821	19876	4304
822	19899	4279
823	19917	4254
824	19936	4228
825	19958	4204
826	19974	4178
827	19997	4154
828	20016	4128
829	20039	4104
830	20057	4079
831	20076	4053
832	20098	4029
833	20120	4004
834	20138	3979
835	20160	3954
836	20182	3930
837	20199	3904
838	20223	3880
839	20240	3855
840	20264	3831
841	20311	3811
842	20338	3787
843	20355	3762
844	20374	3737
845	20392	3712
846	20413	3687
847	20436	3663
848	20458	3638
849	20480	3614
850	20500	3589
851	20519	3564
852	20541	3539
853	20559	3514
854	20582	3490
855	20604	3466
856	20622	3441
857	20646	3416
858	20665	3392
859	20688	3367
860	20708	3343
861	20745	3321
862	20815	3304
863	20839	3280
864	20858	3255
865	20880	3230
866	20899	3205
867	20919	3181
868	20941	3156
869	20962	3132
870	20983	3107
871	21006	3083
872	21021	3058
873	21045	3034
874	21065	3009
875	21085	2984
876	21109	2960
877	21131	2936
878	21150	2911
879	21171	2887
880	21193	2862
881	21209	2837
882	21230	2813
883	21251	2788
884	21271	2764
885	21292	2739
886	21338	2718
887	21365	2694
888	21383	2669
889	21407	2645
890	21424	2620
891	21445	2596
892	21467	2572
893	21492	2548
894	21546	2527
895	21585	2505
896	21610	2481
897	21636	2457
898	21658	2433
899	21681	2409
900	21704	2384
901	21723	2360
902	21746	2335
903	21799	2315
904	21824	2290
905	21840	2266
906	21863	2241
907	21882	2217
908	21906	2193
909	21929	2168
910	21947	2144
911	21970	2119
912	21990	2095
913	22012	2071
914	22035	2046
915	22057	2022
916	22077	1998
917	22098	1973
918	22121	1949
919	22137	1925
920	22158	1900
921	22180	1876
922	22202	1852
923	22219	1827
924	22241	1803
925	22264	1779
926	22286	1755
927	22310	1730
928	22330	1706
929	22382	1684
930	22415	1661
931	22435	1636
932	22458	1612
933	22480	1588
934	22503	1564
935	22523	1540
936	22545	1515
937	22568	1491
938	22591	1467
939	22613	1443
940	22631	1419
941	22654	1394
942	22676	1370
943	22696	1346
944	22716	1322
945	22739	1298
946	22760	1273
947	22779	1249
948	22830	1226
949	22851	1202
950	22875	1178
951	22892	1154
952	22915	1130
953	22934	1105
954	22958	1081
955	22980	1057
956	22999	1033
957	23023	1009
958	23046	985
959	23069	961
960	23091	937
961	23108	912
962	23132	888
963	23154	864
964	23174	840
965	23197	816
966	23219	792
967	23247	768
968	23283	744
969	23319	721
970	23461	700
971	23489	676
972	23511	652
973	23538	628
974	23559	604
975	23589	580
976	23615	555
977	23636	531
978	23659	507
979	23679	483
980	23704	459
981	23728	434
982	23755	410
983	23787	386
984	23816	362
985	23844	338
986	23923	315
987	23952	290
988	23974	266
989	24002	242
990	24031	218
991	24059	194
992	24081	169
993	24128	145
994	24160	121
995	24198	97
996	24217	72
997	24240	48
998	24265	24
999	24289	0
