iter	RMSE
201	16449.09802
202	16420.73709
203	16407.86701
204	16393.68273
205	16351.38775
206	16337.22979
207	16320.655
208	16304.1706
209	16286.99277
210	16259.08511
211	16232.21366
212	16206.74208
213	16177.87403
214	16164.53127
215	16127.87037
216	16123.08496
217	16115.36681
218	16077.23082
219	16061.7157
220	16049.84075
221	16017.97373
222	15978.5794
223	15958.35418
224	15937.7833
225	15888.86906
226	15880.84108
227	15860.36179
228	15814.62648
229	15812.14625
230	15807.92135
231	15765.35092
232	15721.76129
233	15718.92759
234	15710.19215
235	15695.58424
236	15657.42989
237	15651.084
238	15632.2977
239	15603.08127
240	15587.78747
241	15577.59199
242	15556.26596
243	15525.5913
244	15498.7137
245	15452.54645
246	15427.62653
247	15408.73278
248	15397.23198
249	15369.97613
250	15366.5617
251	15361.94561
252	15341.70846
253	15331.43614
254	15293.36408
255	15276.09567
256	15239.13266
257	15235.98601
258	15191.86027
259	15163.15385
260	15135.40784
261	15101.86723
262	15076.72412
263	15056.68685
264	15018.30451
265	14999.64876
266	14972.24379
267	14949.22566
268	14946.30919
269	14904.826
270	14889.87216
271	14881.86416
272	14869.09789
273	14842.93794
274	14815.53418
275	14812.84185
276	14784.17433
277	14781.94219
278	14760.68363
279	14740.483
280	14732.85717
281	14729.07204
282	14692.46565
283	14674.85718
284	14669.35631
285	14637.57108
286	14635.60291
287	14632.60293
288	14612.49753
289	14588.03198
290	14583.02943
291	14547.36137
292	14543.90192
293	14517.80007
294	14509.65048
295	14476.47025
296	14437.26029
297	14429.46054
298	14422.23752
299	14407.695
300	14394.7588
301	14360.80186
302	14332.29397
303	14329.93222
304	14303.97197
305	14279.3787
306	14256.95187
307	14253.36104
308	14220.39856
309	14196.04407
310	14183.51254
311	14152.01922
312	14126.69377
313	14102.29203
314	14085.56473
315	14079.53359
316	14048.32792
317	14017.02859
318	13994.61061
319	13978.35023
320	13946.73881
321	13928.20715
322	13925.44539
323	13897.70964
324	13878.75517
325	13856.34941
326	13852.08523
327	13847.35578
328	13832.74243
329	13811.4825
330	13804.0655
331	13788.56355
332	13777.51551
333	13756.92149
334	13740.99107
335	13725.08259
336	13709.58493
337	13708.47531
338	13697.51428
339	13680.21433
340	13677.25997
341	13658.51384
342	13641.93335
343	13637.86529
344	13612.4476
345	13584.03919
346	13570.08551
347	13529.62737
348	13507.09584
349	13502.194
350	13478.79406
351	13463.97367
352	13429.87985
353	13423.71842
354	13410.1247
355	13373.15375
356	13364.05343
357	13342.86396
358	13336.78621
359	13314.2226
360	13299.84861
361	13273.92564
362	13266.68357
363	13248.41197
364	13245.49156
365	13221.79976
366	13195.6527
367	13183.7886
368	13179.08797
369	13165.46555
370	13143.8666
371	13130.32551
372	13113.14421
373	13085.05485
374	13082.93786
375	13071.69739
376	13063.22324
377	13051.566
378	13039.7949
379	13006.73857
380	12998.06712
381	12984.70824
382	12973.73309
383	12947.59347
384	12936.00673
385	12927.04112
386	12923.93503
387	12919.93449
388	12903.67933
389	12882.22939
390	12867.91609
391	12866.1355
392	12849.86595
393	12834.38044
394	12828.73549
395	12816.47383
396	12799.23
397	12783.43263
398	12754.01352
399	12733.24602
400	12701.96917
401	12690.27954
402	12673.06202
403	12653.58561
404	12643.44087
405	12614.19288
406	12592.01241
407	12571.56505
408	12555.99077
409	12545.35702
410	12539.13805
411	12523.46188
412	12516.3282
413	12479.6242
414	12447.84595
415	12444.29563
416	12441.65691
417	12437.85236
418	12432.04705
419	12425.24878
420	12394.01433
421	12392.41416
422	12379.08086
423	12352.73999
424	12349.34288
425	12348.23444
426	12342.23925
427	12325.19355
428	12302.1545
429	12286.54408
430	12245.0665
431	12243.53946
432	12233.47196
433	12227.65001
434	12218.62724
435	12198.61796
436	12172.30846
437	12165.18928
438	12156.0133
439	12152.4015
440	12148.81172
441	12125.81511
442	12123.36288
443	12093.59117
444	12078.63777
445	12052.84074
446	12049.52526
447	12022.60141
448	12019.8381
449	12012.84266
450	11998.80634
451	11973.34355
452	11950.16706
453	11938.7638
454	11919.45161
455	11908.83626
456	11906.08106
457	11891.96407
458	11886.44031
459	11863.68883
460	11832.06121
461	11811.05626
462	11801.69309
463	11800.11974
464	11773.93748
465	11764.98749
466	11760.09258
467	11734.11351
468	11718.75822
469	11713.89043
470	11705.53407
471	11677.49447
472	11669.50752
473	11652.10623
474	11648.46057
475	11639.17551
476	11610.85841
477	11588.76637
478	11573.52561
479	11567.91705
480	11546.88723
481	11539.0288
482	11536.53396
483	11522.46414
484	11505.88941
485	11476.46189
486	11467.16364
487	11460.08448
488	11445.22926
489	11422.09947
490	11410.04281
491	11384.6819
492	11379.82814
493	11372.53238
494	11361.62709
495	11346.68544
496	11338.9133
497	11323.30403
498	11314.87866
499	11299.3594
500	11272.25669
501	11260.20659
502	11248.51093
503	11246.82258
504	11243.65527
505	11227.19125
506	11208.35632
507	11186.82467
508	11184.74125
509	11183.02744
510	11171.87015
511	11153.06455
512	11146.95622
513	11144.45399
514	11134.03294
515	11132.54223
516	11123.44593
517	11114.73582
518	11108.46804
519	11096.43223
520	11093.59687
521	11076.3022
522	11068.86148
523	11052.17906
524	11046.45374
525	11025.25979
526	11001.91235
527	10991.64459
528	10956.88421
529	10938.59537
530	10919.33771
531	10915.47906
532	10883.5834
533	10881.7159
534	10879.83877
535	10871.0643
536	10852.41533
537	10838.09842
538	10815.15786
539	10813.57353
540	10811.82459
541	10810.59586
542	10797.03776
543	10790.36009
544	10783.09657
545	10781.24036
546	10777.25435
547	10775.4843
548	10765.01029
549	10750.77387
550	10732.33473
551	10730.81084
552	10714.86002
553	10699.42409
554	10689.21431
555	10681.35641
556	10672.40669
557	10671.29857
558	10669.19496
559	10654.90893
560	10633.14868
561	10630.90225
562	10619.59222
563	10612.97715
564	10612.05737
565	10600.99372
566	10595.39906
567	10586.07494
568	10552.46437
569	10534.47832
570	10519.84478
571	10516.62897
572	10504.54008
573	10488.11952
574	10486.61756
575	10485.40149
576	10475.84112
577	10473.96355
578	10460.8706
579	10442.30061
580	10436.5646
581	10421.0142
582	10412.32172
583	10392.28941
584	10391.26714
585	10373.19795
586	10360.96284
587	10346.95286
588	10336.62007
589	10313.41292
590	10298.44045
591	10288.90589
592	10273.07081
593	10272.01557
594	10269.74277
595	10258.81926
596	10247.51823
597	10246.40509
598	10228.62639
599	10216.52298
600	10210.69131
601	10199.53045
602	10194.15549
603	10187.36677
604	10181.51283
605	10160.07039
606	10152.96777
607	10141.03146
608	10140.37502
609	10139.22821
610	10129.14691
611	10122.87387
612	10110.03549
613	10099.68787
614	10088.77776
615	10065.77266
616	10048.36292
617	10046.76158
618	10030.94831
619	10029.01439
620	10010.70974
621	10004.89786
622	9989.462374
623	9969.041343
624	9956.571776
625	9939.912938
626	9929.466396
627	9905.283007
628	9903.418807
629	9897.152837
630	9893.178071
631	9892.41511
632	9883.928167
633	9879.208108
634	9876.329007
635	9866.023946
636	9845.410866
637	9839.639245
638	9833.063519
639	9827.108854
640	9813.437347
641	9807.394871
642	9797.625622
643	9786.130799
644	9783.73306
645	9768.839157
646	9766.416354
647	9754.514258
648	9740.567549
649	9738.962613
650	9735.114579
651	9723.77496
652	9721.163215
653	9704.060898
654	9699.161787
655	9698.37313
656	9691.518871
657	9687.562011
658	9686.930277
659	9679.272377
660	9672.737628
661	9663.070127
662	9647.028575
663	9636.860852
664	9628.672321
665	9615.545627
666	9602.753227
667	9601.213214
668	9594.702314
669	9591.752625
670	9574.404241
671	9564.623064
672	9554.035188
673	9549.092051
674	9531.812407
675	9524.345444
676	9501.423461
677	9499.796074
678	9495.664581
679	9479.877012
680	9466.825539
681	9464.496772
682	9454.728452
683	9444.542287
684	9425.645016
685	9412.99984
686	9409.649614
687	9391.043549
688	9386.210481
689	9371.66605
690	9365.233751
691	9356.569393
692	9355.328159
693	9343.426646
694	9336.022633
695	9331.312312
696	9313.486192
697	9307.555695
698	9306.040615
699	9295.961189
700	9290.908131
701	9273.742191
702	9255.98224
703	9250.430462
704	9236.294897
705	9221.98513
706	9221.178872
707	9199.260452
708	9184.546115
709	9178.981198
710	9168.732295
711	9167.330347
712	9155.328365
713	9144.046673
714	9143.272021
715	9130.428622
716	9118.00602
717	9115.680861
718	9103.913164
719	9100.800289
720	9098.847281
721	9090.118035
722	9078.247046
723	9073.09027
724	9068.358833
725	9055.299508
726	9055.04995
727	9052.395528
728	9042.972609
729	9041.641465
730	9025.193974
731	9015.508555
732	9013.959868
733	8996.280965
734	8989.47895
735	8984.746827
736	8976.187017
737	8970.05244
738	8957.949413
739	8953.838186
740	8952.484533
741	8942.375135
742	8938.163492
743	8930.242699
744	8926.946384
745	8921.275934
746	8911.383798
747	8909.722551
748	8909.188754
749	8907.957933
750	8901.571795
751	8891.302875
752	8877.731537
753	8872.172131
754	8861.930257
755	8860.419651
756	8848.153867
757	8833.55385
758	8825.24279
759	8816.520008
760	8811.32857
761	8810.10457
762	8798.681528
763	8787.725304
764	8782.208365
765	8766.220728
766	8764.950023
767	8751.631593
768	8746.38378
769	8746.222256
770	8741.399342
771	8739.892402
772	8732.253349
773	8731.42079
774	8726.13186
775	8720.270875
776	8719.5958
777	8708.787238
778	8692.866383
779	8688.220062
780	8684.996956
781	8674.927395
782	8666.39262
783	8656.075106
784	8645.2234
785	8643.618884
786	8634.156476
787	8618.795368
788	8617.53122
789	8606.89122
790	8595.95343
791	8593.68879
792	8587.222926
793	8580.166778
794	8573.074895
795	8571.684247
796	8566.499491
797	8560.157827
798	8553.569094
799	8546.392858
800	8542.121134
801	8534.147121
802	8525.440056
803	8518.098683
804	8513.677285
805	8509.461487
806	8500.208005
807	8485.837924
808	8479.626219
809	8463.776382
810	8451.278896
811	8449.883033
812	8441.697551
813	8431.775122
814	8423.007925
815	8412.061755
816	8406.587368
817	8388.639365
818	8369.059771
819	8366.000501
820	8362.931417
821	8361.922855
822	8360.855848
823	8360.286623
824	8348.159846
825	8336.735979
826	8324.258066
827	8320.287674
828	8317.841822
829	8311.274892
830	8304.331218
831	8283.110237
832	8276.975687
833	8274.679852
834	8264.723503
835	8260.325709
836	8258.529516
837	8244.366068
838	8238.584134
839	8237.347726
840	8233.151918
841	8232.335627
842	8223.84939
843	8220.49114
844	8205.944542
845	8187.853403
846	8183.426674
847	8173.421884
848	8172.865042
849	8168.932048
850	8157.878815
851	8149.921831
852	8138.803991
853	8132.035019
854	8131.305033
855	8131.023323
856	8122.34245
857	8115.618982
858	8111.287021
859	8109.352495
860	8102.39349
861	8099.866347
862	8096.597923
863	8089.518724
864	8085.955948
865	8082.177645
866	8076.844604
867	8055.87903
868	8045.119871
869	8036.738818
870	8028.284313
871	8026.45303
872	8025.506563
873	8019.303675
874	8005.617508
875	7997.087002
876	7995.872069
877	7990.236669
878	7975.302212
879	7959.31614
880	7957.154599
881	7948.980208
882	7938.757757
883	7925.636888
884	7921.941786
885	7921.603792
886	7912.202328
887	7900.949854
888	7899.057703
889	7891.240593
890	7878.996642
891	7865.805057
892	7862.576393
893	7858.7656
894	7856.845664
895	7854.047082
896	7853.669562
897	7843.470584
898	7822.432774
899	7815.247793
900	7809.769058
901	7802.323807
902	7792.194391
903	7772.287283
904	7762.810777
905	7745.289677
906	7744.098628
907	7735.264417
908	7729.200353
909	7725.300415
910	7717.293058
911	7716.468755
912	7714.886216
913	7710.215771
914	7704.890767
915	7704.135853
916	7699.715258
917	7696.933743
918	7692.501215
919	7675.371464
920	7665.267441
921	7659.983933
922	7654.680747
923	7645.343364
924	7629.342917
925	7625.004926
926	7620.411615
927	7610.679852
928	7609.565792
929	7605.044293
930	7604.06379
931	7602.49448
932	7598.192657
933	7595.435571
934	7593.01133
935	7590.68989
936	7589.04412
937	7579.717701
938	7572.838739
939	7565.709089
940	7549.393125
941	7547.14102
942	7536.174217
943	7534.774326
944	7532.056277
945	7523.391952
946	7507.001715
947	7496.286938
948	7491.618969
949	7485.561762
950	7478.11479
951	7477.155523
952	7473.985479
953	7462.845552
954	7456.324601
955	7453.63872
956	7453.234282
957	7449.943891
958	7440.208726
959	7436.228864
960	7435.544057
961	7428.910164
962	7424.303969
963	7422.553733
964	7409.326554
965	7403.46481
966	7393.975449
967	7384.951414
968	7379.324013
969	7374.766233
970	7371.254717
971	7368.798923
972	7365.040018
973	7363.858517
974	7352.028987
975	7345.534843
976	7333.638526
977	7323.823061
978	7310.455655
979	7297.487567
980	7294.351068
981	7286.25279
982	7278.137994
983	7271.158217
984	7266.129199
985	7251.201421
986	7242.837533
987	7239.837456
988	7220.111014
989	7210.545276
990	7207.344131
991	7203.648366
992	7192.131694
993	7188.580817
994	7185.243097
995	7183.004736
996	7170.676992
997	7159.16505
998	7150.743567
999	7144.763983
